elapsed_s,value,temp,kind
110.050,5554248,32.5,raw
110.120,5554255,32.5,raw
110.315,5554261,32.5,raw
110.385,5554266,32.5,raw
110.578,5554270,32.5,raw
110.652,5554272,32.5,raw
110.848,5554272,32.5,raw
110.917,5554272,32.5,raw
111.111,5554272,32.5,raw
111.181,5554273,32.5,raw
111.375,5554277,32.5,raw
111.444,5554283,32.5,raw
111.642,5554286,32.5,raw
111.714,5554286,32.5,raw
111.908,5554284,32.5,raw
111.977,5554280,32.5,raw
112.171,5554274,32.5,raw
112.242,5554266,32.5,raw
112.435,5554256,32.5,raw
112.508,5554246,32.5,raw
112.703,5554236,32.5,raw
112.774,5554228,32.5,raw
112.968,5554222,32.5,raw
113.038,5554217,32.5,raw
113.231,5554213,32.5,raw
113.301,5554209,32.5,raw
113.499,5554206,32.5,raw
113.571,5554203,32.5,raw
113.763,5554201,32.5,raw
113.834,5554198,32.5,raw
114.028,5554193,32.5,raw
114.099,5554186,32.5,raw
114.292,5554177,32.5,raw
114.365,5554167,32.5,raw
114.561,5554157,32.5,raw
114.630,5554149,32.5,raw
114.825,5554143,32.5,raw
114.895,5554141,32.5,raw
115.088,5554143,32.5,raw
115.158,5554149,32.5,raw
115.355,5554158,32.5,raw
115.427,5554167,32.5,raw
115.621,5554172,32.5,raw
115.691,5554173,32.5,raw
115.885,5554173,32.5,raw
115.955,5554173,32.5,raw
116.149,5554173,32.5,raw
116.222,5554174,32.5,raw
116.418,5554177,32.5,raw
116.488,5554182,32.5,raw
116.682,5554189,32.5,raw
116.752,5554198,32.5,raw
116.945,5554207,32.5,raw
117.015,5554216,32.5,raw
117.212,5554225,32.5,raw
117.284,5554234,32.5,raw
117.478,5554243,32.5,raw
117.548,5554253,32.5,raw
117.742,5554261,32.5,raw
117.812,5554268,32.5,raw
118.006,5554274,32.5,raw
118.079,5554284,32.5,raw
118.275,5554296,32.5,raw
118.344,5554311,32.5,raw
118.538,5554327,32.5,raw
118.608,5554343,32.5,raw
118.803,5554359,32.5,raw
118.872,5554370,32.5,raw
119.069,5554378,32.5,raw
119.141,5554381,32.5,raw
119.335,5554380,32.5,raw
119.405,5554376,32.5,raw
119.599,5554370,32.5,raw
119.668,5554364,32.5,raw
119.862,5554361,32.5,raw
119.936,5554360,32.5,raw
120.132,5554359,32.5,raw
120.201,5554358,32.5,raw
120.395,5554357,32.5,raw
120.465,5554354,32.5,raw
120.659,5554350,32.5,raw
120.729,5554345,32.5,raw
120.926,5554339,32.5,raw
120.998,5554333,32.5,raw
121.192,5554327,32.5,raw
121.261,5554320,32.5,raw
121.456,5554314,32.5,raw
121.526,5554308,32.5,raw
121.720,5554303,32.5,raw
121.792,5554299,32.5,raw
121.988,5554298,32.5,raw
122.059,5554298,32.5,raw
122.252,5554300,32.5,raw
122.322,5554300,32.5,raw
122.516,5554300,32.5,raw
122.586,5554299,32.5,raw
122.783,5554297,32.5,raw
122.854,5554295,32.5,raw
123.049,5554293,32.5,raw
123.119,5554293,32.5,raw
